Yearly July 1st Estimates,Yearly July 1st Estimates Code,Gender,Gender Code,Ethnicity,Ethnicity Code,State,State Code,County,County Code,Population
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Autauga County, AL",01001,474
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Baldwin County, AL",01003,2130
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Barbour County, AL",01005,404
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Bibb County, AL",01007,100
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Blount County, AL",01009,1555
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Bullock County, AL",01011,221
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Butler County, AL",01013,79
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Calhoun County, AL",01015,1236
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Chambers County, AL",01017,182
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Cherokee County, AL",01019,142
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Chilton County, AL",01021,855
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Choctaw County, AL",01023,45
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Clarke County, AL",01025,122
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Clay County, AL",01027,143
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Cleburne County, AL",01029,96
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Coffee County, AL",01031,806
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Colbert County, AL",01033,398
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Conecuh County, AL",01035,57
2005,2005,Female,F,Hispanic or Latino,2135-2,Alabama,01,"Coosa County, AL",01037,67
