Yearly July 1st Estimates,Yearly July 1st Estimates Code,Gender,Gender Code,Race,Race Code,State,State Code,County,County Code,Population
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Autauga County, AL",01001,50
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Baldwin County, AL",01003,361
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Barbour County, AL",01005,18
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Bibb County, AL",01007,7
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Blount County, AL",01009,83
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Bullock County, AL",01011,0
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Butler County, AL",01013,5
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Calhoun County, AL",01015,137
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Chambers County, AL",01017,9
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Cherokee County, AL",01019,19
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Chilton County, AL",01021,26
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Choctaw County, AL",01023,2
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Clarke County, AL",01025,21
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Clay County, AL",01027,6
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Cleburne County, AL",01029,8
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Coffee County, AL",01031,102
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Colbert County, AL",01033,69
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Conecuh County, AL",01035,12
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Coosa County, AL",01037,9
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Covington County, AL",01039,33
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Crenshaw County, AL",01041,5
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Cullman County, AL",01043,78
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Dale County, AL",01045,112
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Dallas County, AL",01047,11
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"DeKalb County, AL",01049,268
1992,1992,Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Elmore County, AL",01051,61
