Yearly July 1st Estimates,Yearly July 1st Estimates Code,Gender,Gender Code,Ethnicity,Ethnicity Code,State,State Code,County,County Code,Population
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Autauga County, AL",01001,822
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Baldwin County, AL",01003,5038
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Barbour County, AL",01005,625
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Bibb County, AL",01007,347
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Blount County, AL",01009,2839
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Bullock County, AL",01011,412
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Butler County, AL",01013,148
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Calhoun County, AL",01015,2247
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Chambers County, AL",01017,456
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Cherokee County, AL",01019,214
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Chilton County, AL",01021,1848
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Choctaw County, AL",01023,54
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Clarke County, AL",01025,164
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Clay County, AL",01027,225
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Cleburne County, AL",01029,197
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Coffee County, AL",01031,1960
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Colbert County, AL",01033,812
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Conecuh County, AL",01035,133
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Coosa County, AL",01037,130
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Covington County, AL",01039,316
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Crenshaw County, AL",01041,158
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Cullman County, AL",01043,1846
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Dale County, AL",01045,1689
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Dallas County, AL",01047,213
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"DeKalb County, AL",01049,5492
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Elmore County, AL",01051,1173
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Escambia County, AL",01053,488
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Etowah County, AL",01055,2153
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Fayette County, AL",01057,156
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Franklin County, AL",01059,3046
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Geneva County, AL",01061,570
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Greene County, AL",01063,65
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Hale County, AL",01065,129
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Henry County, AL",01067,239
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Houston County, AL",01069,1827
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Jackson County, AL",01071,808
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Jefferson County, AL",01073,13385
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Lamar County, AL",01075,121
2017,2017,Male,M,Hispanic or Latino,2135-2,Alabama,01,"Lauderdale County, AL",01077,1231
