Yearly July 1st Estimates,Yearly July 1st Estimates Code,Gender,Gender Code,Race,Race Code,State,State Code,County,County Code,Population
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Autauga County, AL",01001,112
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Baldwin County, AL",01003,640
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Barbour County, AL",01005,95
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Bibb County, AL",01007,33
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Blount County, AL",01009,183
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Bullock County, AL",01011,31
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Butler County, AL",01013,28
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Calhoun County, AL",01015,318
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Chambers County, AL",01017,33
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Cherokee County, AL",01019,70
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Chilton County, AL",01021,92
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Choctaw County, AL",01023,12
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Clarke County, AL",01025,42
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Clay County, AL",01027,24
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Cleburne County, AL",01029,26
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Coffee County, AL",01031,338
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Colbert County, AL",01033,136
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Conecuh County, AL",01035,23
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Coosa County, AL",01037,40
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Covington County, AL",01039,113
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Crenshaw County, AL",01041,29
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Cullman County, AL",01043,239
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Dale County, AL",01045,211
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Dallas County, AL",01047,46
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"DeKalb County, AL",01049,685
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Elmore County, AL",01051,166
2007,2007,Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Escambia County, AL",01053,692
