Gender,Gender Code,Age Group,Age Group Code,State,State Code,County,County Code,Population
Female,F,0-4 years,0-4,Alabama,01,"Autauga County, AL",01001,1622
Female,F,0-4 years,0-4,Alabama,01,"Baldwin County, AL",01003,5912
Female,F,0-4 years,0-4,Alabama,01,"Barbour County, AL",01005,635
Female,F,0-4 years,0-4,Alabama,01,"Bibb County, AL",01007,610
Female,F,0-4 years,0-4,Alabama,01,"Blount County, AL",01009,1646
Female,F,0-4 years,0-4,Alabama,01,"Bullock County, AL",01011,280
Female,F,0-4 years,0-4,Alabama,01,"Butler County, AL",01013,537
Female,F,0-4 years,0-4,Alabama,01,"Calhoun County, AL",01015,3066
Female,F,0-4 years,0-4,Alabama,01,"Chambers County, AL",01017,918
Female,F,0-4 years,0-4,Alabama,01,"Cherokee County, AL",01019,555
Female,F,0-4 years,0-4,Alabama,01,"Chilton County, AL",01021,1299
Female,F,0-4 years,0-4,Alabama,01,"Choctaw County, AL",01023,344
Female,F,0-4 years,0-4,Alabama,01,"Clarke County, AL",01025,609
Female,F,0-4 years,0-4,Alabama,01,"Clay County, AL",01027,381
Female,F,0-4 years,0-4,Alabama,01,"Cleburne County, AL",01029,447
Female,F,0-4 years,0-4,Alabama,01,"Coffee County, AL",01031,1588
Female,F,0-4 years,0-4,Alabama,01,"Colbert County, AL",01033,1577
Female,F,0-4 years,0-4,Alabama,01,"Conecuh County, AL",01035,295
Female,F,0-4 years,0-4,Alabama,01,"Coosa County, AL",01037,222
Female,F,0-4 years,0-4,Alabama,01,"Covington County, AL",01039,1032
Female,F,0-4 years,0-4,Alabama,01,"Crenshaw County, AL",01041,337
Female,F,0-4 years,0-4,Alabama,01,"Cullman County, AL",01043,2457
Female,F,0-4 years,0-4,Alabama,01,"Dale County, AL",01045,1686
Female,F,0-4 years,0-4,Alabama,01,"Dallas County, AL",01047,1017
Female,F,0-4 years,0-4,Alabama,01,"DeKalb County, AL",01049,1984
Female,F,0-4 years,0-4,Alabama,01,"Elmore County, AL",01051,2433
Female,F,0-4 years,0-4,Alabama,01,"Escambia County, AL",01053,1078
Female,F,0-4 years,0-4,Alabama,01,"Etowah County, AL",01055,2843
Female,F,0-4 years,0-4,Alabama,01,"Fayette County, AL",01057,419
Female,F,0-4 years,0-4,Alabama,01,"Franklin County, AL",01059,1066
Female,F,0-4 years,0-4,Alabama,01,"Geneva County, AL",01061,694
Female,F,0-4 years,0-4,Alabama,01,"Greene County, AL",01063,232
Female,F,0-4 years,0-4,Alabama,01,"Hale County, AL",01065,474
Female,F,0-4 years,0-4,Alabama,01,"Henry County, AL",01067,417
Female,F,0-4 years,0-4,Alabama,01,"Houston County, AL",01069,3211
Female,F,0-4 years,0-4,Alabama,01,"Jackson County, AL",01071,1402
Female,F,0-4 years,0-4,Alabama,01,"Jefferson County, AL",01073,19791
Female,F,0-4 years,0-4,Alabama,01,"Lamar County, AL",01075,374
Female,F,0-4 years,0-4,Alabama,01,"Lauderdale County, AL",01077,2256
Female,F,0-4 years,0-4,Alabama,01,"Lawrence County, AL",01079,871
Female,F,0-4 years,0-4,Alabama,01,"Lee County, AL",01081,4628
Female,F,0-4 years,0-4,Alabama,01,"Limestone County, AL",01083,2843
Female,F,0-4 years,0-4,Alabama,01,"Lowndes County, AL",01085,273
Female,F,0-4 years,0-4,Alabama,01,"Macon County, AL",01087,431
Female,F,0-4 years,0-4,Alabama,01,"Madison County, AL",01089,10756
Female,F,0-4 years,0-4,Alabama,01,"Marengo County, AL",01091,536
Female,F,0-4 years,0-4,Alabama,01,"Marion County, AL",01093,769
Female,F,0-4 years,0-4,Alabama,01,"Marshall County, AL",01095,3475
Female,F,0-4 years,0-4,Alabama,01,"Mobile County, AL",01097,12795
Female,F,0-4 years,0-4,Alabama,01,"Monroe County, AL",01099,446
Female,F,0-4 years,0-4,Alabama,01,"Montgomery County, AL",01101,7507
Female,F,0-4 years,0-4,Alabama,01,"Morgan County, AL",01103,3639
Female,F,0-4 years,0-4,Alabama,01,"Perry County, AL",01105,216
Female,F,0-4 years,0-4,Alabama,01,"Pickens County, AL",01107,432
Female,F,0-4 years,0-4,Alabama,01,"Pike County, AL",01109,834
Female,F,0-4 years,0-4,Alabama,01,"Randolph County, AL",01111,583
Female,F,0-4 years,0-4,Alabama,01,"Russell County, AL",01113,1952
Female,F,0-4 years,0-4,Alabama,01,"St. Clair County, AL",01115,2459
Female,F,0-4 years,0-4,Alabama,01,"Shelby County, AL",01117,5812
Female,F,0-4 years,0-4,Alabama,01,"Sumter County, AL",01119,326
Female,F,0-4 years,0-4,Alabama,01,"Talladega County, AL",01121,2095
Female,F,0-4 years,0-4,Alabama,01,"Tallapoosa County, AL",01123,999
Female,F,0-4 years,0-4,Alabama,01,"Tuscaloosa County, AL",01125,6163
Female,F,0-4 years,0-4,Alabama,01,"Walker County, AL",01127,1877
Female,F,0-4 years,0-4,Alabama,01,"Washington County, AL",01129,433
Female,F,0-4 years,0-4,Alabama,01,"Wilcox County, AL",01131,337
Female,F,0-4 years,0-4,Alabama,01,"Winston County, AL",01133,579
Female,F,0-4 years,0-4,Alaska,02,"Aleutians East Borough, AK",02013,26
Female,F,0-4 years,0-4,Alaska,02,"Aleutians West Census Area, AK",02016,59
Female,F,0-4 years,0-4,Alaska,02,"Anchorage Borough, AK",02020,9266
Female,F,0-4 years,0-4,Alaska,02,"Bethel Census Area, AK",02050,946
Female,F,0-4 years,0-4,Alaska,02,"Bristol Bay Borough, AK",02060,22
Female,F,0-4 years,0-4,Alaska,02,"Chugach Census Area, AK",02063,181
Female,F,0-4 years,0-4,Alaska,02,"Copper River Census Area, AK",02066,71
Female,F,0-4 years,0-4,Alaska,02,"Denali Borough, AK",02068,38
Female,F,0-4 years,0-4,Alaska,02,"Dillingham Census Area, AK",02070,199
Female,F,0-4 years,0-4,Alaska,02,"Fairbanks North Star Borough, AK",02090,3263
Female,F,0-4 years,0-4,Alaska,02,"Haines Borough, AK",02100,41
Female,F,0-4 years,0-4,Alaska,02,"Hoonah-Angoon Census Area, AK",02105,56
Female,F,0-4 years,0-4,Alaska,02,"Juneau Borough, AK",02110,775
Female,F,0-4 years,0-4,Alaska,02,"Kenai Peninsula Borough, AK",02122,1618
Female,F,0-4 years,0-4,Alaska,02,"Ketchikan Gateway Borough, AK",02130,347
Female,F,0-4 years,0-4,Alaska,02,"Kodiak Island Borough, AK",02150,375
Female,F,0-4 years,0-4,Alaska,02,"Kusilvak Census Area, AK",02158,519
Female,F,0-4 years,0-4,Alaska,02,"Lake and Peninsula Borough, AK",02164,52
Female,F,0-4 years,0-4,Alaska,02,"Matanuska-Susitna Borough, AK",02170,3424
Female,F,0-4 years,0-4,Alaska,02,"Nome Census Area, AK",02180,445
Female,F,0-4 years,0-4,Alaska,02,"North Slope Borough, AK",02185,364
Female,F,0-4 years,0-4,Alaska,02,"Northwest Arctic Borough, AK",02188,404
Female,F,0-4 years,0-4,Alaska,02,"Petersburg Borough/Census Area, AK",02195,91
Female,F,0-4 years,0-4,Alaska,02,"Prince of Wales-Hyder Census Area, AK",02198,126
Female,F,0-4 years,0-4,Alaska,02,"Sitka Borough, AK",02220,205
Female,F,0-4 years,0-4,Alaska,02,"Skagway Municipality, AK",02230,16
Female,F,0-4 years,0-4,Alaska,02,"Southeast Fairbanks Census Area, AK",02240,238
Female,F,0-4 years,0-4,Alaska,02,"Wrangell City and Borough, AK",02275,47
Female,F,0-4 years,0-4,Alaska,02,"Yakutat Borough, AK",02282,16
Female,F,0-4 years,0-4,Alaska,02,"Yukon-Koyukuk Census Area, AK",02290,192
Female,F,0-4 years,0-4,Arizona,04,"Apache County, AZ",04001,1954
Female,F,0-4 years,0-4,Arizona,04,"Cochise County, AZ",04003,3273
Female,F,0-4 years,0-4,Arizona,04,"Coconino County, AZ",04005,3356
Female,F,0-4 years,0-4,Arizona,04,"Gila County, AZ",04007,1187
Female,F,0-4 years,0-4,Arizona,04,"Graham County, AZ",04009,1250
Female,F,0-4 years,0-4,Arizona,04,"Greenlee County, AZ",04011,329
Female,F,0-4 years,0-4,Arizona,04,"La Paz County, AZ",04012,361
Female,F,0-4 years,0-4,Arizona,04,"Maricopa County, AZ",04013,124944
Female,F,0-4 years,0-4,Arizona,04,"Mohave County, AZ",04015,4279
Female,F,0-4 years,0-4,Arizona,04,"Navajo County, AZ",04017,3189
Female,F,0-4 years,0-4,Arizona,04,"Pima County, AZ",04019,25527
Female,F,0-4 years,0-4,Arizona,04,"Pinal County, AZ",04021,11841
Female,F,0-4 years,0-4,Arizona,04,"Santa Cruz County, AZ",04023,1509
Female,F,0-4 years,0-4,Arizona,04,"Yavapai County, AZ",04025,4351
Female,F,0-4 years,0-4,Arizona,04,"Yuma County, AZ",04027,6947
Female,F,0-4 years,0-4,Arkansas,05,"Arkansas County, AR",05001,481
Female,F,0-4 years,0-4,Arkansas,05,"Ashley County, AR",05003,516
Female,F,0-4 years,0-4,Arkansas,05,"Baxter County, AR",05005,875
Female,F,0-4 years,0-4,Arkansas,05,"Benton County, AR",05007,9324
Female,F,0-4 years,0-4,Arkansas,05,"Boone County, AR",05009,1060
Female,F,0-4 years,0-4,Arkansas,05,"Bradley County, AR",05011,317
Female,F,0-4 years,0-4,Arkansas,05,"Calhoun County, AR",05013,111
Female,F,0-4 years,0-4,Arkansas,05,"Carroll County, AR",05015,745
Female,F,0-4 years,0-4,Arkansas,05,"Chicot County, AR",05017,279
Female,F,0-4 years,0-4,Arkansas,05,"Clark County, AR",05019,525
Female,F,0-4 years,0-4,Arkansas,05,"Clay County, AR",05021,356
Female,F,0-4 years,0-4,Arkansas,05,"Cleburne County, AR",05023,519
