Gender,Gender Code,Ethnicity,Ethnicity Code,State,State Code,County,County Code,Population
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Autauga County, AL",01001,924
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Baldwin County, AL",01003,5643
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Barbour County, AL",01005,546
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Bibb County, AL",01007,301
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Blount County, AL",01009,2695
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Bullock County, AL",01011,449
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Butler County, AL",01013,152
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Calhoun County, AL",01015,2267
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Chambers County, AL",01017,532
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Cherokee County, AL",01019,249
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Chilton County, AL",01021,1694
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Choctaw County, AL",01023,92
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Clarke County, AL",01025,158
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Clay County, AL",01027,204
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Cleburne County, AL",01029,189
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Coffee County, AL",01031,2296
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Colbert County, AL",01033,918
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Conecuh County, AL",01035,180
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Coosa County, AL",01037,133
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Covington County, AL",01039,411
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Crenshaw County, AL",01041,152
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Cullman County, AL",01043,2031
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Dale County, AL",01045,1751
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Dallas County, AL",01047,181
Female,F,Hispanic or Latino,2135-2,Alabama,01,"DeKalb County, AL",01049,5377
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Elmore County, AL",01051,1402
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Escambia County, AL",01053,415
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Etowah County, AL",01055,2219
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Fayette County, AL",01057,150
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Franklin County, AL",01059,2725
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Geneva County, AL",01061,600
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Greene County, AL",01063,72
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Hale County, AL",01065,112
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Henry County, AL",01067,223
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Houston County, AL",01069,1908
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Jackson County, AL",01071,825
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Jefferson County, AL",01073,13706
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Lamar County, AL",01075,124
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Lauderdale County, AL",01077,1441
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Lawrence County, AL",01079,427
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Lee County, AL",01081,3225
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Limestone County, AL",01083,3359
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Lowndes County, AL",01085,96
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Macon County, AL",01087,171
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Madison County, AL",01089,10513
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Marengo County, AL",01091,229
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Marion County, AL",01093,374
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Marshall County, AL",01095,7077
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Mobile County, AL",01097,6263
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Monroe County, AL",01099,167
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Montgomery County, AL",01101,4248
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Morgan County, AL",01103,5108
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Perry County, AL",01105,67
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Pickens County, AL",01107,365
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Pike County, AL",01109,362
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Randolph County, AL",01111,305
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Russell County, AL",01113,1705
Female,F,Hispanic or Latino,2135-2,Alabama,01,"St. Clair County, AL",01115,1195
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Shelby County, AL",01117,6513
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Sumter County, AL",01119,90
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Talladega County, AL",01121,819
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Tallapoosa County, AL",01123,484
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Tuscaloosa County, AL",01125,4600
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Walker County, AL",01127,851
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Washington County, AL",01129,134
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Wilcox County, AL",01131,70
Female,F,Hispanic or Latino,2135-2,Alabama,01,"Winston County, AL",01133,359
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Aleutians East Borough, AK",02013,136
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Aleutians West Census Area, AK",02016,180
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Anchorage Borough, AK",02020,13735
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Bethel Census Area, AK",02050,196
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Bristol Bay Borough, AK",02060,42
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Chugach Census Area, AK",02063,205
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Copper River Census Area, AK",02066,77
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Denali Borough, AK",02068,30
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Dillingham Census Area, AK",02070,83
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Fairbanks North Star Borough, AK",02090,3636
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Haines Borough, AK",02100,46
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Hoonah-Angoon Census Area, AK",02105,77
Female,F,Hispanic or Latino,2135-2,Alaska,02,"Juneau Borough, AK",02110,1110
