Gender,Gender Code,Race,Race Code,State,State Code,County,County Code,Population
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Autauga County, AL",01001,148
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Baldwin County, AL",01003,995
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Barbour County, AL",01005,66
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Bibb County, AL",01007,59
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Blount County, AL",01009,173
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Bullock County, AL",01011,51
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Butler County, AL",01013,46
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Calhoun County, AL",01015,300
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Chambers County, AL",01017,73
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Cherokee County, AL",01019,102
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Chilton County, AL",01021,126
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Choctaw County, AL",01023,13
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Clarke County, AL",01025,77
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Clay County, AL",01027,52
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Cleburne County, AL",01029,40
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Coffee County, AL",01031,401
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Colbert County, AL",01033,186
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Conecuh County, AL",01035,29
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Coosa County, AL",01037,32
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Covington County, AL",01039,144
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Crenshaw County, AL",01041,52
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Cullman County, AL",01043,298
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Dale County, AL",01045,209
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Dallas County, AL",01047,42
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"DeKalb County, AL",01049,751
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Elmore County, AL",01051,205
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Escambia County, AL",01053,682
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Etowah County, AL",01055,342
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Fayette County, AL",01057,35
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Franklin County, AL",01059,324
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Geneva County, AL",01061,167
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Greene County, AL",01063,17
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Hale County, AL",01065,32
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Henry County, AL",01067,36
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Houston County, AL",01069,356
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Jackson County, AL",01071,413
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Jefferson County, AL",01073,959
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Lamar County, AL",01075,33
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Lauderdale County, AL",01077,207
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Lawrence County, AL",01079,961
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Lee County, AL",01081,313
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Limestone County, AL",01083,454
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Lowndes County, AL",01085,18
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Macon County, AL",01087,37
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Madison County, AL",01089,1489
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Marengo County, AL",01091,26
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Marion County, AL",01093,69
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Marshall County, AL",01095,573
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Mobile County, AL",01097,2053
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Monroe County, AL",01099,141
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Montgomery County, AL",01101,360
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Morgan County, AL",01103,653
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Perry County, AL",01105,17
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Pickens County, AL",01107,21
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Pike County, AL",01109,109
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Randolph County, AL",01111,60
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Russell County, AL",01113,198
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"St. Clair County, AL",01115,179
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Shelby County, AL",01117,449
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Sumter County, AL",01119,16
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Talladega County, AL",01121,127
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Tallapoosa County, AL",01123,78
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Tuscaloosa County, AL",01125,324
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Walker County, AL",01127,150
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Washington County, AL",01129,645
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Wilcox County, AL",01131,16
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,"Winston County, AL",01133,94
Female,F,American Indian or Alaska Native,1002-5,Alabama,01,NA,NA,17903
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Aleutians East Borough, AK",02013,219
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Aleutians West Census Area, AK",02016,191
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Anchorage Borough, AK",02020,14286
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Bethel Census Area, AK",02050,7449
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Bristol Bay Borough, AK",02060,135
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Chugach Census Area, AK",02063,438
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Copper River Census Area, AK",02066,229
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Denali Borough, AK",02068,45
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Dillingham Census Area, AK",02070,1666
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Fairbanks North Star Borough, AK",02090,3961
Female,F,American Indian or Alaska Native,1002-5,Alaska,02,"Haines Borough, AK",02100,104
