Gender,Gender Code,Age Group,Age Group Code,State,State Code,County,County Code,Population
Male,M,0-4 years,0-4,Alabama,01,"Autauga County, AL",01001,1797
Male,M,0-4 years,0-4,Alabama,01,"Baldwin County, AL",01003,6427
Male,M,0-4 years,0-4,Alabama,01,"Barbour County, AL",01005,662
Male,M,0-4 years,0-4,Alabama,01,"Bibb County, AL",01007,576
Male,M,0-4 years,0-4,Alabama,01,"Blount County, AL",01009,1750
Male,M,0-4 years,0-4,Alabama,01,"Bullock County, AL",01011,270
Male,M,0-4 years,0-4,Alabama,01,"Butler County, AL",01013,557
Male,M,0-4 years,0-4,Alabama,01,"Calhoun County, AL",01015,3345
Male,M,0-4 years,0-4,Alabama,01,"Chambers County, AL",01017,914
Male,M,0-4 years,0-4,Alabama,01,"Cherokee County, AL",01019,640
Male,M,0-4 years,0-4,Alabama,01,"Chilton County, AL",01021,1438
Male,M,0-4 years,0-4,Alabama,01,"Choctaw County, AL",01023,334
Male,M,0-4 years,0-4,Alabama,01,"Clarke County, AL",01025,696
Male,M,0-4 years,0-4,Alabama,01,"Clay County, AL",01027,373
Male,M,0-4 years,0-4,Alabama,01,"Cleburne County, AL",01029,496
Male,M,0-4 years,0-4,Alabama,01,"Coffee County, AL",01031,1676
Male,M,0-4 years,0-4,Alabama,01,"Colbert County, AL",01033,1692
Male,M,0-4 years,0-4,Alabama,01,"Conecuh County, AL",01035,296
Male,M,0-4 years,0-4,Alabama,01,"Coosa County, AL",01037,247
Male,M,0-4 years,0-4,Alabama,01,"Covington County, AL",01039,1094
Male,M,0-4 years,0-4,Alabama,01,"Crenshaw County, AL",01041,394
Male,M,0-4 years,0-4,Alabama,01,"Cullman County, AL",01043,2688
Male,M,0-4 years,0-4,Alabama,01,"Dale County, AL",01045,1605
Male,M,0-4 years,0-4,Alabama,01,"Dallas County, AL",01047,1159
Male,M,0-4 years,0-4,Alabama,01,"DeKalb County, AL",01049,2123
Male,M,0-4 years,0-4,Alabama,01,"Elmore County, AL",01051,2384
Male,M,0-4 years,0-4,Alabama,01,"Escambia County, AL",01053,1173
Male,M,0-4 years,0-4,Alabama,01,"Etowah County, AL",01055,3021
Male,M,0-4 years,0-4,Alabama,01,"Fayette County, AL",01057,456
Male,M,0-4 years,0-4,Alabama,01,"Franklin County, AL",01059,1093
Male,M,0-4 years,0-4,Alabama,01,"Geneva County, AL",01061,741
Male,M,0-4 years,0-4,Alabama,01,"Greene County, AL",01063,209
Male,M,0-4 years,0-4,Alabama,01,"Hale County, AL",01065,489
Male,M,0-4 years,0-4,Alabama,01,"Henry County, AL",01067,461
Male,M,0-4 years,0-4,Alabama,01,"Houston County, AL",01069,3435
Male,M,0-4 years,0-4,Alabama,01,"Jackson County, AL",01071,1417
Male,M,0-4 years,0-4,Alabama,01,"Jefferson County, AL",01073,20415
Male,M,0-4 years,0-4,Alabama,01,"Lamar County, AL",01075,408
Male,M,0-4 years,0-4,Alabama,01,"Lauderdale County, AL",01077,2376
Male,M,0-4 years,0-4,Alabama,01,"Lawrence County, AL",01079,893
Male,M,0-4 years,0-4,Alabama,01,"Lee County, AL",01081,4823
Male,M,0-4 years,0-4,Alabama,01,"Limestone County, AL",01083,3062
Male,M,0-4 years,0-4,Alabama,01,"Lowndes County, AL",01085,321
Male,M,0-4 years,0-4,Alabama,01,"Macon County, AL",01087,448
Male,M,0-4 years,0-4,Alabama,01,"Madison County, AL",01089,11415
Male,M,0-4 years,0-4,Alabama,01,"Marengo County, AL",01091,554
Male,M,0-4 years,0-4,Alabama,01,"Marion County, AL",01093,786
Male,M,0-4 years,0-4,Alabama,01,"Marshall County, AL",01095,3614
Male,M,0-4 years,0-4,Alabama,01,"Mobile County, AL",01097,13145
Male,M,0-4 years,0-4,Alabama,01,"Monroe County, AL",01099,537
Male,M,0-4 years,0-4,Alabama,01,"Montgomery County, AL",01101,7656
Male,M,0-4 years,0-4,Alabama,01,"Morgan County, AL",01103,3713
Male,M,0-4 years,0-4,Alabama,01,"Perry County, AL",01105,239
Male,M,0-4 years,0-4,Alabama,01,"Pickens County, AL",01107,497
Male,M,0-4 years,0-4,Alabama,01,"Pike County, AL",01109,861
Male,M,0-4 years,0-4,Alabama,01,"Randolph County, AL",01111,641
Male,M,0-4 years,0-4,Alabama,01,"Russell County, AL",01113,1947
Male,M,0-4 years,0-4,Alabama,01,"St. Clair County, AL",01115,2585
Male,M,0-4 years,0-4,Alabama,01,"Shelby County, AL",01117,5973
Male,M,0-4 years,0-4,Alabama,01,"Sumter County, AL",01119,336
Male,M,0-4 years,0-4,Alabama,01,"Talladega County, AL",01121,2170
Male,M,0-4 years,0-4,Alabama,01,"Tallapoosa County, AL",01123,992
