Gender,Gender Code,Ethnicity,Ethnicity Code,State,State Code,County,County Code,Population
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Autauga County, AL",01001,1052
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Baldwin County, AL",01003,6030
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Barbour County, AL",01005,705
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Bibb County, AL",01007,381
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Blount County, AL",01009,3133
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Bullock County, AL",01011,479
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Butler County, AL",01013,177
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Calhoun County, AL",01015,2582
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Chambers County, AL",01017,632
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Cherokee County, AL",01019,248
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Chilton County, AL",01021,2046
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Choctaw County, AL",01023,62
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Clarke County, AL",01025,173
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Clay County, AL",01027,241
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Cleburne County, AL",01029,209
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Coffee County, AL",01031,2475
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Colbert County, AL",01033,1000
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Conecuh County, AL",01035,180
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Coosa County, AL",01037,158
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Covington County, AL",01039,393
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Crenshaw County, AL",01041,186
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Cullman County, AL",01043,2147
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Dale County, AL",01045,1827
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Dallas County, AL",01047,241
Male,M,Hispanic or Latino,2135-2,Alabama,01,"DeKalb County, AL",01049,5879
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Elmore County, AL",01051,1392
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Escambia County, AL",01053,545
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Etowah County, AL",01055,2516
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Fayette County, AL",01057,179
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Franklin County, AL",01059,3285
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Geneva County, AL",01061,653
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Greene County, AL",01063,87
Male,M,Hispanic or Latino,2135-2,Alabama,01,"Hale County, AL",01065,113
