Gender,Gender Code,Race,Race Code,State,State Code,County,County Code,Population
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Autauga County, AL",01001,131
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Baldwin County, AL",01003,979
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Barbour County, AL",01005,114
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Bibb County, AL",01007,62
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Blount County, AL",01009,212
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Bullock County, AL",01011,44
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Butler County, AL",01013,38
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Calhoun County, AL",01015,312
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Chambers County, AL",01017,69
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Cherokee County, AL",01019,100
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Chilton County, AL",01021,160
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Choctaw County, AL",01023,16
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Clarke County, AL",01025,64
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Clay County, AL",01027,33
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Cleburne County, AL",01029,29
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Coffee County, AL",01031,378
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Colbert County, AL",01033,203
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Conecuh County, AL",01035,41
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Coosa County, AL",01037,47
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Covington County, AL",01039,152
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Crenshaw County, AL",01041,47
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Cullman County, AL",01043,307
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Dale County, AL",01045,230
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Dallas County, AL",01047,75
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"DeKalb County, AL",01049,746
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Elmore County, AL",01051,226
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Escambia County, AL",01053,693
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Etowah County, AL",01055,372
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Fayette County, AL",01057,42
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Franklin County, AL",01059,264
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Geneva County, AL",01061,161
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Greene County, AL",01063,21
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Hale County, AL",01065,17
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Henry County, AL",01067,57
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Houston County, AL",01069,272
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Jackson County, AL",01071,408
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Jefferson County, AL",01073,932
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Lamar County, AL",01075,26
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Lauderdale County, AL",01077,250
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Lawrence County, AL",01079,944
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Lee County, AL",01081,324
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Limestone County, AL",01083,483
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Lowndes County, AL",01085,16
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Macon County, AL",01087,25
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Madison County, AL",01089,1526
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Marengo County, AL",01091,27
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Marion County, AL",01093,75
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Marshall County, AL",01095,605
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Mobile County, AL",01097,1825
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Monroe County, AL",01099,133
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Montgomery County, AL",01101,345
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Morgan County, AL",01103,719
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Perry County, AL",01105,13
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Pickens County, AL",01107,32
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Pike County, AL",01109,110
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Randolph County, AL",01111,54
Male,M,American Indian or Alaska Native,1002-5,Alabama,01,"Russell County, AL",01113,199
