year,fips,stateFips,countyFips,sex,age,pop
1982,01001,01,001,1,0,1348
1982,01001,01,001,1,5,1418
1982,01001,01,001,1,10,1635
1982,01001,01,001,1,15,1628
1982,01001,01,001,1,20,1277
1982,01001,01,001,1,25,1157
1982,01001,01,001,1,30,1104
1982,01001,01,001,1,35,1105
1982,01001,01,001,1,40,978
1982,01001,01,001,1,45,904
1982,01001,01,001,1,50,755
1982,01001,01,001,1,55,656
1982,01001,01,001,1,60,569
1982,01001,01,001,1,65,474
1982,01001,01,001,1,70,334
1982,01001,01,001,1,75,205
1982,01001,01,001,1,80,95
1982,01001,01,001,1,85,52
1982,01001,01,001,2,0,1203
1982,01001,01,001,2,5,1289
1982,01001,01,001,2,10,1463
1982,01001,01,001,2,15,1562
1982,01001,01,001,2,20,1374
1982,01001,01,001,2,25,1225
1982,01001,01,001,2,30,1228
1982,01001,01,001,2,35,1226
1982,01001,01,001,2,40,1034
1982,01001,01,001,2,45,884
1982,01001,01,001,2,50,784
1982,01001,01,001,2,55,707
1982,01001,01,001,2,60,633
1982,01001,01,001,2,65,563
1982,01001,01,001,2,70,464
1982,01001,01,001,2,75,348
1982,01001,01,001,2,80,208
1982,01001,01,001,2,85,149
1982,01003,01,003,1,0,3217
1982,01003,01,003,1,5,3286
1982,01003,01,003,1,10,3552
1982,01003,01,003,1,15,3626
1982,01003,01,003,1,20,3033
1982,01003,01,003,1,25,2995
1982,01003,01,003,1,30,2884
1982,01003,01,003,1,35,2630
1982,01003,01,003,1,40,2267
1982,01003,01,003,1,45,2021
1982,01003,01,003,1,50,1935
1982,01003,01,003,1,55,1933
1982,01003,01,003,1,60,1973
1982,01003,01,003,1,65,1775
1982,01003,01,003,1,70,1448
1982,01003,01,003,1,75,859
1982,01003,01,003,1,80,431
1982,01003,01,003,1,85,239
1982,01003,01,003,2,0,3111
1982,01003,01,003,2,5,3032
1982,01003,01,003,2,10,3378
1982,01003,01,003,2,15,3461
1982,01003,01,003,2,20,3138
1982,01003,01,003,2,25,3195
1982,01003,01,003,2,30,2982
1982,01003,01,003,2,35,2799
1982,01003,01,003,2,40,2313
1982,01003,01,003,2,45,2069
1982,01003,01,003,2,50,2131
1982,01003,01,003,2,55,2254
1982,01003,01,003,2,60,2218
1982,01003,01,003,2,65,2075
1982,01003,01,003,2,70,1664
1982,01003,01,003,2,75,1190
1982,01003,01,003,2,80,688
1982,01003,01,003,2,85,528
1982,01005,01,005,1,0,1023
1982,01005,01,005,1,5,1074
1982,01005,01,005,1,10,1193
1982,01005,01,005,1,15,1145
1982,01005,01,005,1,20,864
1982,01005,01,005,1,25,850
1982,01005,01,005,1,30,841
1982,01005,01,005,1,35,646
1982,01005,01,005,1,40,581
1982,01005,01,005,1,45,514
1982,01005,01,005,1,50,546
1982,01005,01,005,1,55,531
1982,01005,01,005,1,60,567
1982,01005,01,005,1,65,489
1982,01005,01,005,1,70,373
1982,01005,01,005,1,75,260
1982,01005,01,005,1,80,112
1982,01005,01,005,1,85,75
1982,01005,01,005,2,0,937
1982,01005,01,005,2,5,980
1982,01005,01,005,2,10,1081
1982,01005,01,005,2,15,1142
1982,01005,01,005,2,20,970
1982,01005,01,005,2,25,940
1982,01005,01,005,2,30,903
1982,01005,01,005,2,35,750
1982,01005,01,005,2,40,623
1982,01005,01,005,2,45,598
1982,01005,01,005,2,50,638
