year,fips,stateFips,countyFips,sex,age,pop
2010,01001,01,001,1,0,1862
2010,01001,01,001,1,5,1984
2010,01001,01,001,1,10,2163
2010,01001,01,001,1,15,2181
2010,01001,01,001,1,20,1573
2010,01001,01,001,1,25,1573
2010,01001,01,001,1,30,1614
2010,01001,01,001,1,35,2000
2010,01001,01,001,1,40,1998
2010,01001,01,001,1,45,2163
2010,01001,01,001,1,50,1884
2010,01001,01,001,1,55,1533
2010,01001,01,001,1,60,1292
2010,01001,01,001,1,65,1018
2010,01001,01,001,1,70,814
2010,01001,01,001,1,75,552
2010,01001,01,001,1,80,299
2010,01001,01,001,1,85,164
2010,01001,01,001,2,0,1713
2010,01001,01,001,2,5,1980
2010,01001,01,001,2,10,2129
2010,01001,01,001,2,15,2047
2010,01001,01,001,2,20,1578
2010,01001,01,001,2,25,1615
2010,01001,01,001,2,30,1755
2010,01001,01,001,2,35,2142
2010,01001,01,001,2,40,2118
2010,01001,01,001,2,45,2158
2010,01001,01,001,2,50,2024
2010,01001,01,001,2,55,1586
2010,01001,01,001,2,60,1497
2010,01001,01,001,2,65,1271
2010,01001,01,001,2,70,938
2010,01001,01,001,2,75,707
2010,01001,01,001,2,80,444
2010,01001,01,001,2,85,392
2010,01003,01,003,1,0,5617
2010,01003,01,003,1,5,5851
2010,01003,01,003,1,10,6127
2010,01003,01,003,1,15,5936
2010,01003,01,003,1,20,4843
2010,01003,01,003,1,25,5198
2010,01003,01,003,1,30,5355
2010,01003,01,003,1,35,5706
2010,01003,01,003,1,40,5936
2010,01003,01,003,1,45,6619
2010,01003,01,003,1,50,6451
2010,01003,01,003,1,55,5997
2010,01003,01,003,1,60,5779
2010,01003,01,003,1,65,4909
2010,01003,01,003,1,70,3699
2010,01003,01,003,1,75,2655
2010,01003,01,003,1,80,1761
2010,01003,01,003,1,85,1184
2010,01003,01,003,2,0,5539
2010,01003,01,003,2,5,5769
2010,01003,01,003,2,10,5893
2010,01003,01,003,2,15,5682
2010,01003,01,003,2,20,4721
2010,01003,01,003,2,25,5084
2010,01003,01,003,2,30,5448
