year,fips,stateFips,countyFips,sex,ethnicity,pop
1996,01001,01,001,1,Hispanic or Latino,196
1996,01001,01,001,1,Not Hispanic or Latino,19339
1996,01001,01,001,2,Hispanic or Latino,186
1996,01001,01,001,2,Not Hispanic or Latino,20486
1996,01003,01,003,1,Hispanic or Latino,906
1996,01003,01,003,1,Not Hispanic or Latino,60384
1996,01003,01,003,2,Hispanic or Latino,820
1996,01003,01,003,2,Not Hispanic or Latino,63302
1996,01005,01,005,1,Hispanic or Latino,138
1996,01005,01,005,1,Not Hispanic or Latino,14154
1996,01005,01,005,2,Hispanic or Latino,77
1996,01005,01,005,2,Not Hispanic or Latino,13929
1996,01007,01,007,1,Hispanic or Latino,43
1996,01007,01,007,1,Not Hispanic or Latino,9493
1996,01007,01,007,2,Hispanic or Latino,27
1996,01007,01,007,2,Not Hispanic or Latino,9322
1996,01009,01,009,1,Hispanic or Latino,660
1996,01009,01,009,1,Not Hispanic or Latino,21731
1996,01009,01,009,2,Hispanic or Latino,411
1996,01009,01,009,2,Not Hispanic or Latino,22542
1996,01011,01,011,1,Hispanic or Latino,49
1996,01011,01,011,1,Not Hispanic or Latino,5831
1996,01011,01,011,2,Hispanic or Latino,35
1996,01011,01,011,2,Not Hispanic or Latino,5659
1996,01013,01,013,1,Hispanic or Latino,26
1996,01013,01,013,1,Not Hispanic or Latino,10203
1996,01013,01,013,2,Hispanic or Latino,31
1996,01013,01,013,2,Not Hispanic or Latino,11603
1996,01015,01,015,1,Hispanic or Latino,935
1996,01015,01,015,1,Not Hispanic or Latino,55417
1996,01015,01,015,2,Hispanic or Latino,709
1996,01015,01,015,2,Not Hispanic or Latino,59623
1996,01017,01,017,1,Hispanic or Latino,74
1996,01017,01,017,1,Not Hispanic or Latino,17368
1996,01017,01,017,2,Hispanic or Latino,66
1996,01017,01,017,2,Not Hispanic or Latino,19399
1996,01019,01,019,1,Hispanic or Latino,55
1996,01019,01,019,1,Not Hispanic or Latino,10939
1996,01019,01,019,2,Hispanic or Latino,46
1996,01019,01,019,2,Not Hispanic or Latino,11347
1996,01021,01,021,1,Hispanic or Latino,235
1996,01021,01,021,1,Not Hispanic or Latino,17596
1996,01021,01,021,2,Hispanic or Latino,183
1996,01021,01,021,2,Not Hispanic or Latino,18453
1996,01023,01,023,1,Hispanic or Latino,23
1996,01023,01,023,1,Not Hispanic or Latino,7627
1996,01023,01,023,2,Hispanic or Latino,21
1996,01023,01,023,2,Not Hispanic or Latino,8561
1996,01025,01,025,1,Hispanic or Latino,48
1996,01025,01,025,1,Not Hispanic or Latino,13027
1996,01025,01,025,2,Hispanic or Latino,55
1996,01025,01,025,2,Not Hispanic or Latino,14373
1996,01027,01,027,1,Hispanic or Latino,30
1996,01027,01,027,1,Not Hispanic or Latino,6610
1996,01027,01,027,2,Hispanic or Latino,32
1996,01027,01,027,2,Not Hispanic or Latino,7062
1996,01029,01,029,1,Hispanic or Latino,54
1996,01029,01,029,1,Not Hispanic or Latino,6515
1996,01029,01,029,2,Hispanic or Latino,25
1996,01029,01,029,2,Not Hispanic or Latino,6660
1996,01031,01,031,1,Hispanic or Latino,422
1996,01031,01,031,1,Not Hispanic or Latino,20670
1996,01031,01,031,2,Hispanic or Latino,332
1996,01031,01,031,2,Not Hispanic or Latino,21704
1996,01033,01,033,1,Hispanic or Latino,184
1996,01033,01,033,1,Not Hispanic or Latino,25771
1996,01033,01,033,2,Hispanic or Latino,164
1996,01033,01,033,2,Not Hispanic or Latino,28044
1996,01035,01,035,1,Hispanic or Latino,26
