year,fips,stateFips,countyFips,sex,race,pop
2008,01001,01,001,1,American Indian or Alaska Native,120
2008,01001,01,001,1,Asian or Pacific Islander,222
2008,01001,01,001,1,Black or African American,4515
2008,01001,01,001,1,White,21016
2008,01001,01,001,2,American Indian or Alaska Native,141
2008,01001,01,001,2,Asian or Pacific Islander,312
2008,01001,01,001,2,Black or African American,5147
2008,01001,01,001,2,White,21804
2008,01003,01,003,1,American Indian or Alaska Native,662
2008,01003,01,003,1,Asian or Pacific Islander,626
2008,01003,01,003,1,Black or African American,8271
2008,01003,01,003,1,White,76238
2008,01003,01,003,2,American Indian or Alaska Native,694
2008,01003,01,003,2,Asian or Pacific Islander,851
2008,01003,01,003,2,Black or African American,8810
2008,01003,01,003,2,White,79675
2008,01005,01,005,1,American Indian or Alaska Native,93
2008,01005,01,005,1,Asian or Pacific Islander,89
2008,01005,01,005,1,Black or African American,6937
2008,01005,01,005,1,White,7655
2008,01005,01,005,2,American Indian or Alaska Native,65
2008,01005,01,005,2,Asian or Pacific Islander,69
2008,01005,01,005,2,Black or African American,6250
2008,01005,01,005,2,White,6650
2008,01007,01,007,1,American Indian or Alaska Native,33
2008,01007,01,007,1,Asian or Pacific Islander,38
2008,01007,01,007,1,Black or African American,3008
2008,01007,01,007,1,White,8961
2008,01007,01,007,2,American Indian or Alaska Native,32
2008,01007,01,007,2,Asian or Pacific Islander,20
2008,01007,01,007,2,Black or African American,2073
2008,01007,01,007,2,White,8540
2008,01009,01,009,1,American Indian or Alaska Native,181
2008,01009,01,009,1,Asian or Pacific Islander,87
2008,01009,01,009,1,Black or African American,485
2008,01009,01,009,1,White,27605
2008,01009,01,009,2,American Indian or Alaska Native,157
2008,01009,01,009,2,Asian or Pacific Islander,109
2008,01009,01,009,2,Black or African American,455
2008,01009,01,009,2,White,27976
2008,01011,01,011,1,American Indian or Alaska Native,32
2008,01011,01,011,1,Asian or Pacific Islander,52
2008,01011,01,011,1,Black or African American,4054
2008,01011,01,011,1,White,1819
2008,01011,01,011,2,American Indian or Alaska Native,48
2008,01011,01,011,2,Asian or Pacific Islander,44
2008,01011,01,011,2,Black or African American,3776
2008,01011,01,011,2,White,1128
2008,01013,01,013,1,American Indian or Alaska Native,28
2008,01013,01,013,1,Asian or Pacific Islander,89
2008,01013,01,013,1,Black or African American,4174
2008,01013,01,013,1,White,5523
2008,01013,01,013,2,American Indian or Alaska Native,35
2008,01013,01,013,2,Asian or Pacific Islander,77
2008,01013,01,013,2,Black or African American,5005
2008,01013,01,013,2,White,6018
2008,01015,01,015,1,American Indian or Alaska Native,329
2008,01015,01,015,1,Asian or Pacific Islander,467
2008,01015,01,015,1,Black or African American,11317
2008,01015,01,015,1,White,44349
2008,01015,01,015,2,American Indian or Alaska Native,297
2008,01015,01,015,2,Asian or Pacific Islander,595
2008,01015,01,015,2,Black or African American,13227
2008,01015,01,015,2,White,46693
2008,01017,01,017,1,American Indian or Alaska Native,33
2008,01017,01,017,1,Asian or Pacific Islander,85
2008,01017,01,017,1,Black or African American,6325
2008,01017,01,017,1,White,10082
2008,01017,01,017,2,American Indian or Alaska Native,39
2008,01017,01,017,2,Asian or Pacific Islander,87
2008,01017,01,017,2,Black or African American,7333
2008,01017,01,017,2,White,10579
2008,01019,01,019,1,American Indian or Alaska Native,76
2008,01019,01,019,1,Asian or Pacific Islander,24
2008,01019,01,019,1,Black or African American,675
2008,01019,01,019,1,White,11973
2008,01019,01,019,2,American Indian or Alaska Native,53
2008,01019,01,019,2,Asian or Pacific Islander,37
2008,01019,01,019,2,Black or African American,637
2008,01019,01,019,2,White,12161
2008,01021,01,021,1,American Indian or Alaska Native,101
2008,01021,01,021,1,Asian or Pacific Islander,118
2008,01021,01,021,1,Black or African American,2181
2008,01021,01,021,1,White,18959
2008,01021,01,021,2,American Indian or Alaska Native,87
2008,01021,01,021,2,Asian or Pacific Islander,107
2008,01021,01,021,2,Black or African American,2251
2008,01021,01,021,2,White,19435
2008,01023,01,023,1,American Indian or Alaska Native,11
2008,01023,01,023,1,Asian or Pacific Islander,5
2008,01023,01,023,1,Black or African American,2911
2008,01023,01,023,1,White,3846
2008,01023,01,023,2,American Indian or Alaska Native,7
2008,01023,01,023,2,Asian or Pacific Islander,8
2008,01023,01,023,2,Black or African American,3350
2008,01023,01,023,2,White,3976
2008,01025,01,025,1,American Indian or Alaska Native,41
2008,01025,01,025,1,Asian or Pacific Islander,41
2008,01025,01,025,1,Black or African American,5319
2008,01025,01,025,1,White,7076
2008,01025,01,025,2,American Indian or Alaska Native,61
2008,01025,01,025,2,Asian or Pacific Islander,45
2008,01025,01,025,2,Black or African American,6274
2008,01025,01,025,2,White,7426
2008,01027,01,027,1,American Indian or Alaska Native,23
2008,01027,01,027,1,Asian or Pacific Islander,12
2008,01027,01,027,1,Black or African American,1089
2008,01027,01,027,1,White,5802
2008,01027,01,027,2,American Indian or Alaska Native,30
2008,01027,01,027,2,Asian or Pacific Islander,15
2008,01027,01,027,2,Black or African American,1167
2008,01027,01,027,2,White,6023
2008,01029,01,029,1,American Indian or Alaska Native,25
2008,01029,01,029,1,Asian or Pacific Islander,18
2008,01029,01,029,1,Black or African American,267
2008,01029,01,029,1,White,7099
2008,01029,01,029,2,American Indian or Alaska Native,24
2008,01029,01,029,2,Asian or Pacific Islander,21
2008,01029,01,029,2,Black or African American,282
2008,01029,01,029,2,White,7138
2008,01031,01,031,1,American Indian or Alaska Native,387
2008,01031,01,031,1,Asian or Pacific Islander,385
2008,01031,01,031,1,Black or African American,4091
2008,01031,01,031,1,White,19114
2008,01031,01,031,2,American Indian or Alaska Native,359
2008,01031,01,031,2,Asian or Pacific Islander,480
2008,01031,01,031,2,Black or African American,4548
2008,01031,01,031,2,White,19152
2008,01033,01,033,1,American Indian or Alaska Native,140
2008,01033,01,033,1,Asian or Pacific Islander,120
2008,01033,01,033,1,Black or African American,4093
2008,01033,01,033,1,White,21782
2008,01033,01,033,2,American Indian or Alaska Native,135
2008,01033,01,033,2,Asian or Pacific Islander,137
2008,01033,01,033,2,Black or African American,4870
2008,01033,01,033,2,White,23196
2008,01035,01,035,1,American Indian or Alaska Native,27
2008,01035,01,035,1,Asian or Pacific Islander,4
2008,01035,01,035,1,Black or African American,2937
2008,01035,01,035,1,White,3560
2008,01035,01,035,2,American Indian or Alaska Native,22
2008,01035,01,035,2,Asian or Pacific Islander,14
2008,01035,01,035,2,Black or African American,3341
2008,01035,01,035,2,White,3483
2008,01037,01,037,1,American Indian or Alaska Native,41
2008,01037,01,037,1,Asian or Pacific Islander,10
2008,01037,01,037,1,Black or African American,1801
2008,01037,01,037,1,White,3810
2008,01037,01,037,2,American Indian or Alaska Native,32
2008,01037,01,037,2,Asian or Pacific Islander,20
2008,01037,01,037,2,Black or African American,1937
2008,01037,01,037,2,White,3842
2008,01039,01,039,1,American Indian or Alaska Native,118
2008,01039,01,039,1,Asian or Pacific Islander,76
2008,01039,01,039,1,Black or African American,2224
2008,01039,01,039,1,White,15769
2008,01039,01,039,2,American Indian or Alaska Native,111
2008,01039,01,039,2,Asian or Pacific Islander,74
2008,01039,01,039,2,Black or African American,2586
2008,01039,01,039,2,White,16587
2008,01041,01,041,1,American Indian or Alaska Native,29
2008,01041,01,041,1,Asian or Pacific Islander,101
2008,01041,01,041,1,Black or African American,1591
2008,01041,01,041,1,White,4999
2008,01041,01,041,2,American Indian or Alaska Native,30
2008,01041,01,041,2,Asian or Pacific Islander,74
2008,01041,01,041,2,Black or African American,1837
2008,01041,01,041,2,White,5261
