year,fips,stateFips,countyFips,sex,ethnicity,pop
2021,01001,01,001,2,Hispanic or Latino,924
2021,01001,01,001,2,Not Hispanic or Latino,29435
2021,01003,01,003,2,Hispanic or Latino,5643
2021,01003,01,003,2,Not Hispanic or Latino,116865
2021,01005,01,005,2,Hispanic or Latino,546
2021,01005,01,005,2,Not Hispanic or Latino,11193
2021,01007,01,007,2,Hispanic or Latino,301
2021,01007,01,007,2,Not Hispanic or Latino,10102
2021,01009,01,009,2,Hispanic or Latino,2695
2021,01009,01,009,2,Not Hispanic or Latino,26961
2021,01011,01,011,2,Hispanic or Latino,449
2021,01011,01,011,2,Not Hispanic or Latino,4144
2021,01013,01,013,2,Hispanic or Latino,152
2021,01013,01,013,2,Not Hispanic or Latino,9864
2021,01015,01,015,2,Hispanic or Latino,2267
2021,01015,01,015,2,Not Hispanic or Latino,57185
2021,01017,01,017,2,Hispanic or Latino,532
2021,01017,01,017,2,Not Hispanic or Latino,17401
2021,01019,01,019,2,Hispanic or Latino,249
2021,01019,01,019,2,Not Hispanic or Latino,12228
2021,01021,01,021,2,Hispanic or Latino,1694
2021,01021,01,021,2,Not Hispanic or Latino,21245
2021,01023,01,023,2,Hispanic or Latino,92
2021,01023,01,023,2,Not Hispanic or Latino,6486
2021,01025,01,025,2,Hispanic or Latino,158
2021,01025,01,025,2,Not Hispanic or Latino,11756
2021,01027,01,027,2,Hispanic or Latino,204
2021,01027,01,027,2,Not Hispanic or Latino,6997
2021,01029,01,029,2,Hispanic or Latino,189
2021,01029,01,029,2,Not Hispanic or Latino,7464
2021,01031,01,031,2,Hispanic or Latino,2296
2021,01031,01,031,2,Not Hispanic or Latino,24966
2021,01033,01,033,2,Hispanic or Latino,918
2021,01033,01,033,2,Not Hispanic or Latino,28878
2021,01035,01,035,2,Hispanic or Latino,180
2021,01035,01,035,2,Not Hispanic or Latino,5672
2021,01037,01,037,2,Hispanic or Latino,133
2021,01037,01,037,2,Not Hispanic or Latino,4993
2021,01039,01,039,2,Hispanic or Latino,411
2021,01039,01,039,2,Not Hispanic or Latino,18904
2021,01041,01,041,2,Hispanic or Latino,152
2021,01041,01,041,2,Not Hispanic or Latino,6497
2021,01043,01,043,2,Hispanic or Latino,2031
2021,01043,01,043,2,Not Hispanic or Latino,42918
2021,01045,01,045,2,Hispanic or Latino,1751
2021,01045,01,045,2,Not Hispanic or Latino,23415
2021,01047,01,047,2,Hispanic or Latino,181
2021,01047,01,047,2,Not Hispanic or Latino,19846
2021,01049,01,049,2,Hispanic or Latino,5377
2021,01049,01,049,2,Not Hispanic or Latino,30559
2021,01051,01,051,2,Hispanic or Latino,1402
2021,01051,01,051,2,Not Hispanic or Latino,43993
2021,01053,01,053,2,Hispanic or Latino,415
2021,01053,01,053,2,Not Hispanic or Latino,17901
2021,01055,01,055,2,Hispanic or Latino,2219
2021,01055,01,055,2,Not Hispanic or Latino,50703
2021,01057,01,057,2,Hispanic or Latino,150
2021,01057,01,057,2,Not Hispanic or Latino,8050
2021,01059,01,059,2,Hispanic or Latino,2725
2021,01059,01,059,2,Not Hispanic or Latino,13262
2021,01061,01,061,2,Hispanic or Latino,600
2021,01061,01,061,2,Not Hispanic or Latino,12932
2021,01063,01,063,2,Hispanic or Latino,72
2021,01063,01,063,2,Not Hispanic or Latino,3976
2021,01065,01,065,2,Hispanic or Latino,112
2021,01065,01,065,2,Not Hispanic or Latino,7622
2021,01067,01,067,2,Hispanic or Latino,223
2021,01067,01,067,2,Not Hispanic or Latino,8759
2021,01069,01,069,2,Hispanic or Latino,1908
2021,01069,01,069,2,Not Hispanic or Latino,53903
2021,01071,01,071,2,Hispanic or Latino,825
2021,01071,01,071,2,Not Hispanic or Latino,25794
2021,01073,01,073,2,Hispanic or Latino,13706
2021,01073,01,073,2,Not Hispanic or Latino,337695
2021,01075,01,075,2,Hispanic or Latino,124
2021,01075,01,075,2,Not Hispanic or Latino,6821
2021,01077,01,077,2,Hispanic or Latino,1441
2021,01077,01,077,2,Not Hispanic or Latino,47597
2021,01079,01,079,2,Hispanic or Latino,427
2021,01079,01,079,2,Not Hispanic or Latino,16397
2021,01081,01,081,2,Hispanic or Latino,3225
2021,01081,01,081,2,Not Hispanic or Latino,86532
2021,01083,01,083,2,Hispanic or Latino,3359
2021,01083,01,083,2,Not Hispanic or Latino,50200
2021,01085,01,085,2,Hispanic or Latino,96
2021,01085,01,085,2,Not Hispanic or Latino,5109
2021,01087,01,087,2,Hispanic or Latino,171
2021,01087,01,087,2,Not Hispanic or Latino,10102
2021,01089,01,089,2,Hispanic or Latino,10513
2021,01089,01,089,2,Not Hispanic or Latino,190204
2021,01091,01,091,2,Hispanic or Latino,229
2021,01091,01,091,2,Not Hispanic or Latino,9785
