year,fips,stateFips,countyFips,sex,age,pop.original,which,pop
1990,06003,06,003,1,85,0,original,NA
1990,08111,08,111,1,80,0,original,NA
1990,08111,08,111,1,85,0,original,NA
1990,08111,08,111,2,75,0,original,NA
1990,08111,08,111,2,85,0,original,NA
1990,16033,16,033,2,85,0,original,NA
1990,30069,30,069,1,85,0,original,NA
1990,38007,38,007,2,85,0,original,NA
1990,48261,48,261,1,80,0,original,NA
1990,48261,48,261,2,80,0,original,NA
1990,48269,48,269,1,80,0,original,NA
1990,48269,48,269,1,85,0,original,NA
1990,48269,48,269,2,80,0,original,NA
1990,48269,48,269,2,85,0,original,NA
1990,48301,48,301,1,15,0,original,NA
1990,48301,48,301,1,20,0,original,NA
1990,48301,48,301,1,70,0,original,NA
1990,48301,48,301,1,75,0,original,NA
1990,48301,48,301,1,80,0,original,NA
1990,48301,48,301,1,85,0,original,NA
1990,48301,48,301,2,10,0,original,NA
1990,48301,48,301,2,20,0,original,NA
1990,48301,48,301,2,25,0,original,NA
1990,48301,48,301,2,75,0,original,NA
1990,48301,48,301,2,80,0,original,NA
1990,48301,48,301,2,85,0,original,NA
1990,48393,48,393,1,85,0,original,NA
1991,06003,06,003,1,85,0,original,NA
1991,08111,08,111,1,80,0,original,NA
1991,08111,08,111,1,85,0,original,NA
1991,08111,08,111,2,75,0,original,NA
1991,08111,08,111,2,85,0,original,NA
1991,16033,16,033,2,85,0,original,NA
1991,30069,30,069,1,85,0,original,NA
1991,38007,38,007,2,85,0,original,NA
1991,48261,48,261,1,80,0,original,NA
1991,48261,48,261,2,80,0,original,NA
1991,48269,48,269,1,80,0,original,NA
1991,48269,48,269,1,85,0,original,NA
1991,48269,48,269,2,80,0,original,NA
1991,48269,48,269,2,85,0,original,NA
1991,48301,48,301,1,15,0,original,NA
1991,48301,48,301,1,20,0,original,NA
1991,48301,48,301,1,70,0,original,NA
1991,48301,48,301,1,75,0,original,NA
1991,48301,48,301,1,80,0,original,NA
1991,48301,48,301,1,85,0,original,NA
1991,48301,48,301,2,10,0,original,NA
1991,48301,48,301,2,20,0,original,NA
1991,48301,48,301,2,25,0,original,NA
1991,48301,48,301,2,75,0,original,NA
1991,48301,48,301,2,80,0,original,NA
1991,48301,48,301,2,85,0,original,NA
1991,48393,48,393,1,85,0,original,NA
1992,06003,06,003,1,85,0,original,NA
1992,08111,08,111,1,80,0,original,NA
1992,08111,08,111,1,85,0,original,NA
1992,08111,08,111,2,75,0,original,NA
1992,08111,08,111,2,85,0,original,NA
1992,16033,16,033,2,85,0,original,NA
1992,30069,30,069,1,85,0,original,NA
1992,38007,38,007,2,85,0,original,NA
1992,48261,48,261,1,80,0,original,NA
1992,48261,48,261,2,80,0,original,NA
1992,48269,48,269,1,80,0,original,NA
1992,48269,48,269,1,85,0,original,NA
1992,48269,48,269,2,80,0,original,NA
1992,48269,48,269,2,85,0,original,NA
1992,48301,48,301,1,15,0,original,NA
1992,48301,48,301,1,20,0,original,NA
1992,48301,48,301,1,70,0,original,NA
1992,48301,48,301,1,75,0,original,NA
1992,48301,48,301,1,80,0,original,NA
1992,48301,48,301,1,85,0,original,NA
1992,48301,48,301,2,10,0,original,NA
1992,48301,48,301,2,20,0,original,NA
1992,48301,48,301,2,25,0,original,NA
1992,48301,48,301,2,75,0,original,NA
1992,48301,48,301,2,80,0,original,NA
1992,48301,48,301,2,85,0,original,NA
1992,48393,48,393,1,85,0,original,NA
1993,06003,06,003,1,85,0,original,NA
1993,08111,08,111,1,80,0,original,NA
1993,08111,08,111,1,85,0,original,NA
1993,08111,08,111,2,75,0,original,NA
1993,08111,08,111,2,85,0,original,NA
1993,16033,16,033,2,85,0,original,NA
1993,30069,30,069,1,85,0,original,NA
1993,38007,38,007,2,85,0,original,NA
1993,48261,48,261,1,80,0,original,NA
1993,48261,48,261,2,80,0,original,NA
1993,48269,48,269,1,80,0,original,NA
1993,48269,48,269,1,85,0,original,NA
1993,48269,48,269,2,80,0,original,NA
1993,48269,48,269,2,85,0,original,NA
1993,48301,48,301,1,15,0,original,NA
1993,48301,48,301,1,20,0,original,NA
1993,48301,48,301,1,70,0,original,NA
1993,48301,48,301,1,75,0,original,NA
1993,48301,48,301,1,80,0,original,NA
1993,48301,48,301,1,85,0,original,NA
1993,48301,48,301,2,10,0,original,NA
1993,48301,48,301,2,20,0,original,NA
1993,48301,48,301,2,25,0,original,NA
1993,48301,48,301,2,75,0,original,NA
1993,48301,48,301,2,80,0,original,NA
1993,48301,48,301,2,85,0,original,NA
1993,48393,48,393,1,85,0,original,NA
1994,06003,06,003,1,85,0,original,NA
1994,08111,08,111,1,80,0,original,NA
1994,08111,08,111,1,85,0,original,NA
1994,08111,08,111,2,75,0,original,NA
1994,08111,08,111,2,85,0,original,NA
1994,16033,16,033,2,85,0,original,NA
1994,30069,30,069,1,85,0,original,NA
1994,38007,38,007,2,85,0,original,NA
1994,48261,48,261,1,80,0,original,NA
1994,48261,48,261,2,80,0,original,NA
1994,48269,48,269,1,80,0,original,NA
1994,48269,48,269,1,85,0,original,NA
1994,48269,48,269,2,80,0,original,NA
1994,48269,48,269,2,85,0,original,NA
1994,48301,48,301,1,15,0,original,NA
1994,48301,48,301,1,20,0,original,NA
1994,48301,48,301,1,70,0,original,NA
1994,48301,48,301,1,75,0,original,NA
1994,48301,48,301,1,80,0,original,NA
1994,48301,48,301,1,85,0,original,NA
1994,48301,48,301,2,10,0,original,NA
1994,48301,48,301,2,20,0,original,NA
1994,48301,48,301,2,25,0,original,NA
1994,48301,48,301,2,75,0,original,NA
1994,48301,48,301,2,80,0,original,NA
1994,48301,48,301,2,85,0,original,NA
1994,48393,48,393,1,85,0,original,NA
1995,06003,06,003,1,85,0,original,NA
1995,08111,08,111,1,80,0,original,NA
1995,08111,08,111,1,85,0,original,NA
1995,08111,08,111,2,75,0,original,NA
1995,08111,08,111,2,85,0,original,NA
1995,16033,16,033,2,85,0,original,NA
1995,30069,30,069,1,85,0,original,NA
1995,38007,38,007,2,85,0,original,NA
1995,48261,48,261,1,80,0,original,NA
1995,48261,48,261,2,80,0,original,NA
1995,48269,48,269,1,80,0,original,NA
1995,48269,48,269,1,85,0,original,NA
1995,48269,48,269,2,80,0,original,NA
1995,48269,48,269,2,85,0,original,NA
1995,48301,48,301,1,15,0,original,NA
1995,48301,48,301,1,20,0,original,NA
1995,48301,48,301,1,70,0,original,NA
1995,48301,48,301,1,75,0,original,NA
1995,48301,48,301,1,80,0,original,NA
1995,48301,48,301,1,85,0,original,NA
1995,48301,48,301,2,10,0,original,NA
1995,48301,48,301,2,20,0,original,NA
1995,48301,48,301,2,25,0,original,NA
1995,48301,48,301,2,75,0,original,NA
1995,48301,48,301,2,80,0,original,NA
1995,48301,48,301,2,85,0,original,NA
1996,06003,06,003,1,85,0,original,NA
1996,08111,08,111,1,80,0,original,NA
