"Notes"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Gender"	"Gender Code"	"Ethnicity"	"Ethnicity Code"	"State"	"State Code"	"County"	"County Code"	Population
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Autauga County, AL"	"01001"	148
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	714
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Barbour County, AL"	"01005"	80
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Bibb County, AL"	"01007"	32
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Blount County, AL"	"01009"	396
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Bullock County, AL"	"01011"	35
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Butler County, AL"	"01013"	16
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	792
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Chambers County, AL"	"01017"	60
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Cherokee County, AL"	"01019"	38
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Chilton County, AL"	"01021"	121
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Choctaw County, AL"	"01023"	19
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Clarke County, AL"	"01025"	40
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Clay County, AL"	"01027"	19
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Cleburne County, AL"	"01029"	30
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Coffee County, AL"	"01031"	347
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Colbert County, AL"	"01033"	117
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Conecuh County, AL"	"01035"	24
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Coosa County, AL"	"01037"	4
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Covington County, AL"	"01039"	70
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	11
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Cullman County, AL"	"01043"	306
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Dale County, AL"	"01045"	626
	"1994"	"1994"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Alabama"	"01"	"Dallas County, AL"	"01047"	46
